update,frames,fps,duration,train_loss,train_accuracy,train_precision,train_recall,validation_loss,validation_accuracy,validation_precision,validation_recall
1,19200,6396.242949832105,3,0.6023397048314413,0.6886979166666668,0.6408707103571152,0.860515914291658,,,,
2,38400,6558.358118703471,5,0.5154765208562215,0.74828125,0.6674147846822837,0.9905277401894452,,,,
3,57600,6611.210827161592,8,0.5000179946422577,0.7485937500000002,0.6680740271620575,0.9885464389837567,,,,
4,76800,6466.991365474393,11,0.49539133310317995,0.7493750000000001,0.6678058306597852,0.9949085619285121,,,,
6,115200,6465.6372363806395,17,0.48979471723238627,0.7504166666666666,0.6695106472993936,0.9890625,,,,
7,134400,6518.9532067038235,20,0.48749234875043235,0.7506770833333333,0.669560347241669,0.9930432976845602,,,,
8,153600,6564.446187413986,23,0.48595237334569297,0.7504166666666666,0.6692957746478874,0.99,,,,
9,172800,6610.522690133932,26,0.4840526580810547,0.7511979166666668,0.6697641675466385,0.9910416666666667,,,,
11,211200,6533.734533211644,32,0.482416437069575,0.7505729166666665,0.6704080192009035,0.9875220962878236,,,,
12,230400,6557.500453353969,35,0.48178857366244,0.7526562499999998,0.6716026640215389,0.9881163348274784,,,,
13,249600,6540.387225546308,38,0.47970972458521527,0.7528645833333333,0.6715940587022955,0.9870482556925005,,,,
14,268800,6521.860596878748,41,0.4787987728913625,0.75171875,0.670886971283067,0.9881237628919679,,,,
16,307200,6402.087574427754,47,0.47709235548973083,0.753125,0.6721915285451197,0.9883357633826286,,,,
17,326400,6545.875249268421,50,0.47613066832224527,0.7528645833333333,0.6736759569463254,0.9826367228113952,,,,
18,345600,6645.275381070894,53,0.4755375544230143,0.75375,0.6731002065379958,0.9856085097507561,,,,
19,364800,6732.380084451284,55,0.4749121050039927,0.7527604166666666,0.6735427298210307,0.9785923141186299,,,,
21,403200,6627.8755723935565,61,0.4722380300362905,0.7546875000000001,0.6755151688609045,0.9818011647254575,,,,
22,422400,6718.2098085421285,64,0.4742724617322286,0.7532291666666667,0.6733715103793844,0.9817365894385306,,,,
23,441600,6540.463185881288,67,0.4711343983809153,0.7566666666666666,0.6788045843609459,0.9745886273692981,,,,
24,460800,6551.158776364179,70,0.4720985213915507,0.7544270833333333,0.6750840546534087,0.9819979188345473,,,,
26,499200,6492.871467236252,76,0.4711430609226227,0.7546875,0.6762631351662588,0.9779350541215653,,,,
27,518400,6484.420186461237,79,0.4710412641366323,0.7542187499999999,0.677028106616312,0.9716489472587033,,,,
28,537600,6528.835798524298,82,0.46967674493789674,0.7557291666666667,0.6770360769064593,0.9786613927344645,,,,
29,556800,6645.056593105683,85,0.47111490766207376,0.7541145833333334,0.6753181029496819,0.9759690732420855,,,,
31,595200,6536.755406904327,91,0.4698012073834737,0.7555208333333332,0.6798497569597879,0.963771142200877,,,,
32,614400,6517.271831534752,94,0.4674360235532125,0.7561458333333334,0.6773003472222222,0.976940734557596,,,,
33,633600,6514.045515451221,97,0.46720526218414304,0.7567187500000002,0.678566266801561,0.9768022469572454,,,,
34,652800,6582.026232922768,99,0.46655296683311465,0.7558854166666666,0.6776039403158047,0.9753935981649463,,,,
36,691200,6598.110938005039,105,0.4670818607012431,0.7552604166666668,0.6800996483001173,0.9653666146645866,,,,
37,710400,6234.734045752971,108,0.46692193547884625,0.7559895833333333,0.6783145659280785,0.9732124244319367,,,,
