update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,reshaped_return_mean,reshaped_return_std,reshaped_return_min,reshaped_return_max,reshaped_return_bonus_mean,reshaped_return_bonus_std,reshaped_return_bonus_min,reshaped_return_bonus_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
1,0,2560,71.96286782914554,35,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9361345916986465,0.15733556002378463,0.02247057049535215,0.003393671999219805,0.004806061740964651,0.18958979845046997
2,0,5120,70.33572277257402,71,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9349380910396574,0.11044174451380967,0.020981755130924283,0.0012376413389574735,0.0022511955758091062,0.08441989868879318
3,0,7680,71.30426903818558,107,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.93511883020401,0.09452763758599758,0.0203633593628183,0.0007122055962099695,0.001368274271953851,0.05550766550004482
4,64,10240,70.0830726522333,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.936920014023781,0.04400999369099737,0.026904762630874754,0.00265229887154419,0.008861714042723179,0.07050180062651634
5,65,12800,72.60914613881434,179,0.01177978515625,0.09349914606362292,0.0,0.75390625,0.015625,0.235595703125,1.8699829212724584,0.0,15.078125,0.0,0.0,0.0,0.0,126.546875,11.5338221216722,35.0,128.0,1.9356219619512558,0.03785398537293076,-0.010406792827416212,0.24702327198610874,0.09374860860407352,0.12418295443058014
6,65,15360,73.15338909202616,214,0.01177978515625,0.09349914606362292,0.0,0.75390625,0.015625,0.235595703125,1.8699829212724584,0.0,15.078125,0.0,0.0,0.0,0.0,126.546875,11.5338221216722,35.0,128.0,1.932303759455681,0.02203052267432213,0.005685264605563134,0.00044428470355342144,-0.01341563044115901,0.03822602517902851
7,128,17920,72.97817872292578,249,0.01177978515625,0.09349914606362292,0.0,0.75390625,0.015625,0.235595703125,1.8699829212724584,0.0,15.078125,0.0,0.0,0.0,0.0,126.546875,11.5338221216722,35.0,128.0,1.9310809075832367,0.008767342500505038,0.012212959164753557,0.0011912369125639088,-0.006502231350168586,0.04465515352785587
8,129,20480,72.4603443869509,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9298190206289292,0.0014921186695573852,0.001689726602853625,0.0005611249755020254,-0.01732790097594261,0.0458569684997201
9,129,23040,72.8047662760032,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9310772180557252,0.0018526314554037527,0.00014412617747439072,0.00022969005149207078,-0.019051799550652504,0.022451331838965416
10,192,25600,72.22375385951881,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.932525169849396,0.013638410205021502,0.002363396089640446,0.0008191175540559926,-0.01655229739844799,0.03863023407757282
11,194,28160,72.56410850426334,390,0.00980224646627903,0.07780291931860799,0.0,0.6273437738418579,0.015625,0.196044921875,1.5560583272350095,0.0,12.546875,0.0,0.0,0.0,0.0,126.828125,9.30146945296145,53.0,128.0,1.9309420734643936,0.050684661231935026,-0.1260884714545682,1.1545541608240455,0.43187922798097134,0.31841757893562317
12,194,30720,72.23414716817013,426,0.00980224646627903,0.07780291931860799,0.0,0.6273437738418579,0.015625,0.196044921875,1.5560583272350095,0.0,12.546875,0.0,0.0,0.0,0.0,126.828125,9.30146945296145,53.0,128.0,1.9284629225730896,0.023584243725053966,0.004720174905378372,0.0010346670707804151,-0.014047120697796345,0.06595699675381184
13,256,33280,72.3662001449276,461,0.00980224646627903,0.077802919318608,0.0,0.6273437738418579,0.015625,0.196044921875,1.5560583272350095,0.0,12.546875,0.0,0.0,0.0,0.0,126.828125,9.30146945296145,53.0,128.0,1.928500473499298,-0.002773984147643205,0.02473352879751474,0.0009629856715037022,0.00593001744709909,0.05458427965641022
